Name,"Paleographic features"
"1013 He-1",ה:body:inclination:oblique
"1013 He-1","ה:horizontal strokes:number:three"
"1013 He-1",ה:shaft:length:medium
"1013 He-1","ה:shaft:angle with strokes:right"
"1013 He-1","ה:additional:upper horizontal stroke protruding rightward"
"1013 He-1","ו–ה:additional:ligatures:waw-he ligature"
"1013 Het-1",ח:body:inclination:oblique
"1013 Het-1","ח:horizontal strokes:number:three"
"1013 Het-1","ח:vertical protrusions:upper left"
"1013 Het-1","ח:vertical protrusions:lower right"
"1013 Kaf-1",כ:body:inclination:oblique
"1013 Kaf-1",כ:head:shape:trident
"1013 Kaf-1",כ:head:orientation:upward
"1013 Kaf-1",כ:tail:straight
"1013 Kaf-1",כ:foot:footless
"1013 Lamed-1",ל:body:inclination:oblique
"1013 Lamed-1",ל:shaft:straight
"1013 Lamed-1",ל:foot:shape:angular
"1013 Lamed-1",ל:foot:inclination:horizontal
"1013 Lamed-2",ל:body:inclination:oblique
"1013 Lamed-2",ל:shaft:straight
"1013 Lamed-2",ל:foot:shape:angular
"1013 Lamed-2",ל:foot:inclination:upward
"1013 Mem-1",מ:body:inclination:oblique
"1013 Mem-1","מ:head:shape:crossed parallel strokes"
"1013 Mem-1",מ:tail:shape:curved
"1013 Mem-1","מ:foot:with foot"
"1013 Mem-1","מ:additional:protruding middle head stroke"
"1013 Waw-1","ו:body:inclination:oblique leftward"
"1013 Waw-1",ו:head:shape:v-shaped
"1013 Waw-1","ו:nose:with nose"
"1013 Waw-1","ו–ה:additional:ligatures:waw-he ligature"
"1013 Yod-1","י:horizontal strokes:parallel downward"
"1013 Yod-1",י:body:inclination:vertical
"1013 Yod-1",י:foot:direction:upward
"1013 Yod-1",י:foot:length:medium
"1017 Beth-1",ב:body:inclination:vertical
"1017 Beth-1",ב:head:shape:triangular
"1017 Beth-1",ב:leg:angular
"1017 Dalet-1",ד:body:inclination:vertical
"1017 Dalet-1",ד:head:shape:triangular
"1017 Dalet-1",ד:stem:middle/long
"1017 Dalet-1","ד:additional:upper right head protrusion"
"1017 He-1",ה:body:inclination:vertical
"1017 He-1","ה:horizontal strokes:number:three"
"1017 He-1",ה:shaft:length:short
"1017 He-1","ה:shaft:angle with strokes:right"
